NAME                                                     READY   STATUS             RESTARTS   AGE
alertmanager-kube-prometheus-kube-prome-alertmanager-0   2/2     Running            0          25m
kube-prometheus-grafana-6cdb4599d-tprr7                  2/3     ImagePullBackOff   0          26m
kube-prometheus-kube-prome-operator-794c96f946-zdmb6     1/1     Running            0          26m
kube-prometheus-kube-state-metrics-d949d4c54-s5tnj       1/1     Running            0          26m
kube-prometheus-prometheus-node-exporter-x7tvr           1/1     Running            0          26m
prometheus-adapter-696cb445f-8xf7t                       1/1     Running            0          15m
prometheus-kube-prometheus-kube-prome-prometheus-0       2/2     Running            0          25m
scaletestapp-5596986ff9-728lp                            1/1     Running            0          2m47s
scaletestapp-5596986ff9-9q2lf                            1/1     Running            0          3m44s
scaletestapp-5596986ff9-cxb8b                            1/1     Running            0          2m47s
scaletestapp-5596986ff9-drr2v                            1/1     Running            0          2m32s
scaletestapp-5596986ff9-gfzxl                            1/1     Running            0          2m32s
scaletestapp-5596986ff9-jgtwt                            1/1     Running            0          3m2s
scaletestapp-5596986ff9-kk7sf                            1/1     Running            0          3m2s
scaletestapp-5596986ff9-lp5lr                            1/1     Running            0          2m47s
scaletestapp-5596986ff9-qfr5m                            1/1     Running            0          3m2s
scaletestapp-5596986ff9-rns6w                            1/1     Running            0          2m47s
